season_id,age_group_id,region_id,club_id,league_group_id,division_name,group_name,match_id,round,discipline,discipline_no,discipline_code,home_team,away_team,home_players,away_players,set_scores,winner_side,winner_team,wo
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,1. MD,1,MD,Vendsyssel,Værløse,"Mathias Christiansen, Cheryl Seinen (EU)","Mathias Thyrri Jørgensen, Mai Surrow","15-21, 21-15, 13-21",away,Værløse,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,2. MD,2,MD,Vendsyssel,Værløse,"Robin Tabeling (EU), Debora Jille (EU)","Andreas Søndergaard, Amalie Cecilie Kudsk","22-24, 21-18, 21-18",home,Vendsyssel,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,1. DS,1,DS,Vendsyssel,Værløse,Kirsty Alison Gilmour (udl.),Julie Dawall Jakobsen,"21-19, 20-22, 21-11",home,Vendsyssel,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,2. DS,2,DS,Vendsyssel,Værløse,Beiwen Zhang (udl.),Amalie Cecilie Kudsk,"21-10, 21-14",home,Vendsyssel,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,1. HS,1,HS,Vendsyssel,Værløse,Victor Svendsen,Rasmus Messerschmidt,"21-15, 21-16",home,Vendsyssel,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,2. HS,2,HS,Vendsyssel,Værløse,Magnus Johannesen,Ditlev Jæger Holm,"22-20, 21-14",home,Vendsyssel,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,1. DD,1,DD,Vendsyssel,Værløse,"Cheryl Seinen (EU), Debora Jille (EU)","Julie Finne-Ipsen, Mai Surrow",,,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,1. HD,1,HD,Vendsyssel,Værløse,"Robin Tabeling (EU), Victor Svendsen","Andreas Søndergaard, Emil Hybel",,,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423421,0 20-04-2022,2. HD,2,HD,Vendsyssel,Værløse,"Zvonimir Durkinjak (EU), Mathias Christiansen","Mathias Thyrri Jørgensen, Ditlev Jæger Holm",,,,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423422,0 20-04-2022,1. MD,1,MD,Skovshoved,Højbjerg/Via Biler,"Lasse Mølhede, Sara Lundgaard","Anders Skaarup Rasmussen, Selena Piek (EU)","21-18, 20-22, 18-21",away,Højbjerg/Via Biler,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423422,0 20-04-2022,2. MD,2,MD,Skovshoved,Højbjerg/Via Biler,"Joel Eipe, Mette Poulsen","Mads Vestergaard, Rikke Søby Hansen","21-18, 21-13",home,Skovshoved,
2021,1,1,-3,13946,Badmintonligaen,Final 4,423422,0 20-04-2022,1. DS,1,DS,Skovshoved,Højbjerg/Via Biler,Kristin Kuuba (EU),Line Kjærsfeldt,"13-21, 21-19, 21-18",home,Skovshoved,
